GeoFips,GeoName,LineCode,Description,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4
10000,Delaware,45,      Information,973.3,961.9,982.8,976.7,969.8,993.4,987.8,1017.5,1089.4,1056.9,1047.1,988.9,980.9,966.9,1022.3,999.6
10000,Delaware,51,      Finance and insurance,20167.1,18770.3,18593.3,17844.2,17917.4,17887.8,18901.5,19024.8,19397.6,20803.7,21119.5,21810.5,20143.3,20303.7,20270.1,20468.2
10000,Delaware,56,      Real estate and rental and leasing,9606,9508.9,9793,10538.2,11645.6,12478.5,12995.5,13092.1,12882.6,12844.7,12896.4,12992.1,13268.3,12970.2,13490.8,13479.3
10000,Delaware,60,"      Professional, scientific, and technical services",4676.6,4690.7,4737.3,4641.3,4791.1,4892.4,4789,4882.3,4966,5056.6,4964.6,4902.9,4978.4,4520,5096,5022.2
10000,Delaware,64,      Management of companies and enterprises,1943.2,1766.7,1819.2,1925.1,1599.2,1656.7,1863.3,1699.9,2048.8,1674.7,1848.5,1867.2,1742.7,1726.8,1751.4,1845.1
10000,Delaware,65,      Administrative and support and waste management and remediation services,1641.7,1670.2,1710.1,1749.9,1867.8,1891.6,1870.1,1966.2,1941.4,1981.1,2017.2,2003.1,2114.6,1868.4,2026.8,2040.8
10000,Delaware,69,      Educational services,443.8,452.3,442,447.7,447.2,459.4,461.7,464.3,471.3,471.9,468.4,461.8,445.9,385.9,415.6,392.3
10000,Delaware,70,      Health care and social assistance,5343.8,5340.7,5408.9,5384.8,5572.1,5521.2,5560.6,5603.8,5676.7,5808.5,5881.7,5966.9,5805.1,5143.9,6009.8,5960.8
10000,Delaware,76,"      Arts, entertainment, and recreation",449.9,453.3,464.4,486.7,391.4,415.3,407.3,413.6,413.7,407.2,422.5,429.6,424.7,235.2,343,354.8
10000,Delaware,79,      Accommodation and food services,1501,1502.3,1539.8,1551.3,1630.1,1655.9,1687.8,1713,1758.9,1774.3,1783.7,1770.2,1603.3,978.7,1496.8,1417.8
10000,Delaware,82,      Other services (except government and government enterprises),972.9,973.3,990.8,1008.1,1000.4,1021,1023.2,1030.3,1062.2,1057.7,1067.9,1069.9,1048.4,811.7,991.3,1005.8
10000,Delaware,83,  Government and government enterprises,7091.9,6808.2,7189.5,7118.4,7320.1,7374.1,7580.1,7565.1,7577.3,7516.5,7672.2,7488,7859.8,7597.8,7870.4,7830.3
10000,Delaware,84,    Federal civilian,786.3,790.7,801.7,809.6,814,816.3,814.3,821.7,824,831.4,846.4,849.9,872.8,888.9,966.7,946.3
10000,Delaware,85,    Military,581.8,583.6,587.8,592.2,587.6,589.9,594.6,595.1,598.6,604.1,602.6,609.3,610.3,631.5,642.9,651
10000,Delaware,86,    State and local,5723.7,5434,5800,5716.5,5918.4,5967.9,6171.2,6148.4,6154.7,6080.9,6223.2,6028.8,6376.7,6077.4,6260.8,6233
11000,District of Columbia,1,All industry total,130783.5,132015.6,134916.9,135257.9,136979.8,139057.4,141360.1,141492.7,141828.8,143115.5,144770.8,146248.1,147226.9,139076.1,144692.7,147884.4
11000,District of Columbia,2,  Private industries,87231.6,88443.2,90623.8,90834.4,91496.2,92900.4,94799.4,95087.4,95601.6,96746.1,98026.7,99227.7,99554.2,90575.1,96212.3,98402.1
11000,District of Columbia,3,"      Agriculture, forestry, fishing and hunting",1.7,1.7,1.8,1.6,1.5,1.4,1.6,1.7,3.4,3.4,3.1,2.7,2.2,2.2,2.5,3
11000,District of Columbia,6,"      Mining, quarrying, and oil and gas extraction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11000,District of Columbia,10,      Utilities,1212.7,1229,1262.2,1296.2,1436.4,1385.5,1525.8,1328.6,1453.7,1367.1,1456,1367.9,(D),(D),(D),(D)
11000,District of Columbia,11,      Construction,(D),(D),(D),(D),1706.8,1734,1762.7,1837.6,1844.1,1871.1,1927.7,1860.3,1844.9,1703.8,1812.9,1778.5
11000,District of Columbia,12,      Manufacturing,(D),(D),(D),(D),291.5,286.7,288.7,266.8,273.1,267.3,265.9,285.5,(D),(D),(D),(D)
11000,District of Columbia,13,          Durable goods manufacturing,(D),(D),(D),(D),151.9,152.8,155,147.6,140.9,138.6,141.1,144.2,(D),(D),(D),(D)
11000,District of Columbia,25,          Nondurable goods manufacturing,(D),(D),(D),(D),139.6,133.9,133.7,119.3,132.2,128.8,124.9,141.3,123.8,119.1,125.7,120.3
11000,District of Columbia,34,      Wholesale trade,1199.9,1268.5,1230.8,1297.5,1270.9,1202.7,1267,1279.2,1427,1381,1486.8,1578.9,1529.8,1461.1,1601.4,1548.4
11000,District of Columbia,35,      Retail trade,1584.4,1576.6,1647.5,1543.3,1662,1643.8,1674.2,1632,1628.6,1719.4,1710.7,1683.6,1634.1,1513.7,1613.9,1536.2
11000,District of Columbia,36,      Transportation and warehousing,730.1,733.4,727.6,737.2,685.7,730.4,741.8,731.9,707.7,732.2,714.6,712.3,623.3,437.4,456.1,434.7
11000,District of Columbia,45,      Information,6813.2,6943.7,7268.1,7343.5,7306.6,7593.3,7879,8110.2,7930.3,8464.6,8569.6,8684,8852.9,9053.2,9743.4,10623
11000,District of Columbia,51,      Finance and insurance,5667.6,5762.3,6056.7,6193,6411.3,6557.6,6969.4,6731.9,7220.8,7391.6,7543.4,7675.9,7693,7732.3,7806.6,7983.4
11000,District of Columbia,56,      Real estate and rental and leasing,10517.5,10912,11708.1,10799.7,10822.9,11005.2,11135.3,11083.1,11670.9,11778.9,11600.9,11747.6,12156.5,11092.2,11762.3,11486.4
11000,District of Columbia,60,"      Professional, scientific, and technical services",27489.1,28099.7,28229.7,28557.6,28380,28720.4,29324.1,29542.4,28775.4,28777.5,29481.9,29911.1,30272.3,28327.1,29731.6,31041
11000,District of Columbia,64,      Management of companies and enterprises,823.9,702.7,778.3,782.3,792.6,804.4,859.2,886.5,857.3,881.6,863.6,960.1,1165.9,922.6,1013.3,988.8
11000,District of Columbia,65,      Administrative and support and waste management and remediation services,3495.5,3507.3,3462.4,3489.2,3424.7,3417.3,3589.5,3501.1,3568,3625.4,3642.3,3700.1,3844.6,3360.8,3513.2,3508.1
11000,District of Columbia,69,      Educational services,4615.6,4566.7,4643.4,4678.9,4761,4751.7,4829.2,4909.6,4923.3,4926.8,4927.2,4917.4,4894.5,4532.7,4639.8,4522
